run_idx,seed,best_MRT1,best_MRT2,best_Pe1,best_Pe2,best_fr1,best_fr2,J_m
303,403,11.463722949981271,46.57785221916872,14.439477014045604,2.3880812249955454,0.2839001451342683,0.6277100127358538,0.03429928228047574
304,404,11.447629625576823,45.905358884300924,15.83189964671208,2.0828230711030216,0.24979608638651374,0.6827268133194379,0.03336460633622825
305,405,11.447429506796247,49.45833871817996,15.272862319010539,1.9045739466253515,0.2580764197410357,0.6938531762222536,0.033069505663485634
306,406,11.666058449998228,49.82174650592842,14.484926718222093,2.2331698635250916,0.2968075095047884,0.6373745704561448,0.03278224424670438
307,407,11.651498373176825,50.36034297199043,14.06887085122705,2.188569029298449,0.3011172634132396,0.6291719790475215,0.03294777917472128
308,408,11.592720641140637,49.423776590982015,14.843599122520956,1.9569610387148941,0.2678910309146011,0.6662942418353732,0.03213627928424075
309,409,11.557869829184767,50.42296657889622,14.783341797584137,1.9743500833678311,0.27805277679346074,0.6676633338245365,0.03276930324581191
310,410,11.789951750305146,52.274560709236596,13.61667506635492,2.3253077017682067,0.32014133899767694,0.6214013255416532,0.033494368448694814
311,411,11.542163398014857,49.06784192883937,14.4716631942362,2.3069603333298794,0.2932995990409576,0.632943939350859,0.03217780512610004
312,412,11.666695401013982,50.26384834757542,13.844152733870752,2.2332919601550962,0.3011435819754209,0.6411258916444897,0.03226516848903984
313,413,11.430592221448958,46.21068601211421,15.218182833656634,2.2958073203513862,0.27333981926868633,0.638272024747796,0.03303216472502728
314,414,11.579050167005985,50.5554786707243,14.38448909201406,2.0256818657926594,0.28036106825682067,0.6589222255449243,0.03193206864836036
315,415,11.592611379825279,49.365317948991716,14.221878097964543,2.3323554322821423,0.3011978267294017,0.6325518774225022,0.03167853444037845
316,416,11.472315754753165,46.40176503866627,14.63889183254782,2.5350561718379474,0.2915536029544912,0.6296022712720054,0.03391384252330859
317,417,11.619110578544095,50.756902439059886,14.82373249178621,2.0746713632106015,0.2824386712210043,0.6659858760902013,0.03289354240757333
318,418,11.606197810054809,46.461413052168695,13.913857481143815,2.662394096425814,0.30942806666433326,0.5988500198096498,0.03411159193184687
319,419,11.73440195739838,50.3641542219637,13.623707840166446,2.5818662926046194,0.32867812153809084,0.6065579817359825,0.03330971359330377
320,420,11.719523819757693,52.92266782120056,13.878655802434949,2.061840722344133,0.2986740625781294,0.6550655624824542,0.03309775474879047
